fold,origin_timestamp,school_id,method,n_train_school,n_test_school,mae_p50,pinball_mean,cov50_p25_p75,cov80_p10_p90,cov90_p05_p95,width80_p10_p90,alpha_lo,alpha_hi,cov80_unc_on_calib,abs_err_cov80
2,2023-06-13,S1,per_school,9312,673,1.269928160542671,0.3287244615766839,0.46805349182763745,0.7161961367013373,0.8276374442793462,3.3250550686349247,,,,
2,2023-06-13,S10,per_school,9312,673,0.7000982546560127,0.16069302818429335,0.43833580980683506,0.7667161961367014,0.8915304606240714,1.532759219728543,,,,
2,2023-06-13,S11,per_school,9312,673,1.6931550097574617,0.4520094920608702,0.5141158989598811,0.7682020802377415,0.861812778603269,4.429716471764151,,,,
2,2023-06-13,S12,per_school,9312,673,1.0226721551635245,0.30695397397164487,0.512630014858841,0.6790490341753344,0.7696879643387816,2.5098956965391834,,,,
2,2023-06-13,S13,per_school,9312,673,1.0958952507173416,0.27690029003647887,0.45022288261515603,0.6924219910846954,0.7830609212481426,3.1038756800563116,,,,
2,2023-06-13,S14,per_school,9312,673,1.2436950904844568,0.39022995488868906,0.37592867756315007,0.6389301634472511,0.7696879643387816,3.5560563150887643,,,,
2,2023-06-13,S15,per_school,9312,673,1.0465736760169864,0.2622752180137588,0.4561664190193165,0.711738484398217,0.836552748885587,2.6480995137689756,,,,
2,2023-06-13,S16,per_school,9312,673,1.1606721427302582,0.3451621098581219,0.4234769687964339,0.7548291233283804,0.8068350668647846,2.8594186079069845,,,,
2,2023-06-13,S17,per_school,9312,673,2.8248222296209953,0.7787629541435088,0.2659732540861813,0.45319465081723626,0.6196136701337296,5.426730431758048,,,,
2,2023-06-13,S18,per_school,9312,673,1.3552525056769353,0.39505467327757854,0.4160475482912333,0.674591381872214,0.8276374442793462,2.769205521111806,,,,
2,2023-06-13,S19,per_school,9312,673,1.1420542393695239,0.356810486542115,0.3462109955423477,0.5468053491827637,0.7191679049034175,2.143921444196406,,,,
2,2023-06-13,S2,per_school,9312,673,1.4195798668204052,0.41159093584180934,0.6909361069836553,0.8915304606240714,0.9524517087667161,5.190110959641675,,,,
2,2023-06-13,S20,per_school,9312,673,0.4589039510284669,0.14779856405651717,0.2585438335809807,0.5780089153046062,0.7964338781575037,1.3644772135938759,,,,
2,2023-06-13,S21,per_school,9312,673,1.8300681680829012,0.42083454673055315,0.537890044576523,0.7459138187221397,0.8395245170876672,3.690680685069867,,,,
2,2023-06-13,S22,per_school,9312,673,0.8726032844238908,0.25870114935766775,0.29420505200594355,0.4933135215453195,0.5349182763744428,2.3705677830838994,,,,
2,2023-06-13,S23,per_school,9312,673,0.5984730445754038,0.17896638428494246,0.35661218424962854,0.6329866270430906,0.7696879643387816,2.1272407961603785,,,,
2,2023-06-13,S24,per_school,9312,673,1.7628941937522153,0.4643310806191697,0.49925705794947994,0.6924219910846954,0.8350668647845468,4.485028550238477,,,,
2,2023-06-13,S25,per_school,9312,673,1.3256947650777193,0.38462864455364854,0.337295690936107,0.6775631500742942,0.7890044576523031,3.915743472214304,,,,
2,2023-06-13,S26,per_school,9312,673,0.6666284557213634,0.16754564903246047,0.4576523031203566,0.7518573551263001,0.8053491827637445,1.6957503362780955,,,,
2,2023-06-13,S27,per_school,9312,673,1.1408886473796596,0.3160224107650102,0.2763744427934621,0.6389301634472511,0.7533432392273403,2.6287264349472044,,,,
2,2023-06-13,S28,per_school,9312,673,1.4862825084672515,0.3972737343535368,0.3818722139673105,0.6968796433878157,0.8023774145616642,3.742871697439,,,,
2,2023-06-13,S29,per_school,9312,673,1.3191410530691035,0.40395972935876523,0.4309063893016345,0.6151560178306092,0.6849925705794948,2.8906413755515925,,,,
2,2023-06-13,S3,per_school,9312,673,2.162479440506046,0.6028818564694399,0.46953937592867756,0.6849925705794948,0.8172362555720654,6.716865682864543,,,,
2,2023-06-13,S30,per_school,9312,673,0.8750415573214736,0.2523121544159923,0.4145616641901932,0.662704309063893,0.7592867756315007,2.3893515881301455,,,,
2,2023-06-13,S31,per_school,9312,673,0.905247071802017,0.23499003238865224,0.41901931649331353,0.7102526002971769,0.8573551263001485,2.4100483428512853,,,,
2,2023-06-13,S32,per_school,9312,673,0.5505677914909685,0.1520444020356931,0.3967310549777117,0.5616641901931649,0.8202080237741456,1.1742102034031947,,,,
2,2023-06-13,S33,per_school,9312,673,0.4042668646630417,0.11715872810751389,0.3952451708766716,0.7147102526002972,0.7563150074294205,1.3821498846903588,,,,
2,2023-06-13,S34,per_school,9312,673,0.8039120773085099,0.23579363623883523,0.27191679049034173,0.48588410104011887,0.6419019316493314,1.7291510973688369,,,,
2,2023-06-13,S35,per_school,9312,673,0.9072108506291752,0.27139788488808825,0.40416047548291234,0.7176820208023774,0.812778603268945,2.155704985844166,,,,
2,2023-06-13,S36,per_school,9312,673,1.4573607656522902,0.3984918253436308,0.6864784546805349,0.8677563150074294,0.8959881129271917,4.713087884160533,,,,
2,2023-06-13,S37,per_school,9312,673,0.9848151691725857,0.24211708319216838,0.4457652303120357,0.725111441307578,0.8484398216939079,2.4077186647519384,,,,
2,2023-06-13,S38,per_school,9312,673,0.5149994364817587,0.15552041724429005,0.4398216939078752,0.7206537890044576,0.7652303120356612,1.8279632522218277,,,,
2,2023-06-13,S39,per_school,9312,673,1.9343450141922158,0.4878588083852428,0.5289747399702823,0.7726597325408618,0.8930163447251115,4.6517656520858806,,,,
2,2023-06-13,S4,per_school,9312,673,0.9313660881625655,0.24248694076253813,0.6671619613670133,0.8826151560178306,0.9405646359583952,2.5076514963746264,,,,
2,2023-06-13,S40,per_school,9312,673,1.2838416578613938,0.3512071276107404,0.4606240713224368,0.7295690936106983,0.8246656760772659,3.765054305583076,,,,
2,2023-06-13,S41,per_school,9312,673,0.7975991286639997,0.2434178524536936,0.49777117384843983,0.774145616641902,0.8959881129271917,2.3445406683267502,,,,
2,2023-06-13,S42,per_school,9312,673,1.8652066599198587,0.5288675476937327,0.5468053491827637,0.7890044576523031,0.8023774145616642,4.122952034409635,,,,
2,2023-06-13,S43,per_school,9312,673,2.447889083109795,0.636245063218186,0.5512630014858841,0.7845468053491828,0.8573551263001485,5.831828713456112,,,,
2,2023-06-13,S44,per_school,9312,673,0.8953823474707474,0.27261588809811826,0.512630014858841,0.861812778603269,0.9271916790490342,3.683919129677692,,,,
2,2023-06-13,S45,per_school,9312,673,0.6517109782924269,0.18021679529838996,0.3967310549777117,0.6671619613670133,0.8514115898959881,2.0429597303418414,,,,
2,2023-06-13,S46,per_school,9312,673,1.392390698645655,0.4168679292612371,0.18573551263001487,0.4650817236255572,0.5661218424962853,2.225052969038691,,,,
2,2023-06-13,S47,per_school,9312,673,2.296964840219133,0.5658070472689811,0.4903417533432392,0.7578008915304606,0.8647845468053492,5.490402637145314,,,,
2,2023-06-13,S48,per_school,9312,673,2.6246795729873362,0.7949158846935896,0.4413075780089153,0.6196136701337296,0.7726597325408618,7.131738546165946,,,,
2,2023-06-13,S49,per_school,9312,673,2.084403752772464,0.6325839403019292,0.45468053491827637,0.8112927191679049,0.8558692421991084,5.769924472959816,,,,
2,2023-06-13,S5,per_school,9312,673,0.7267871641466372,0.20504899225448264,0.40416047548291234,0.6998514115898959,0.8187221396731055,2.2041282369354427,,,,
2,2023-06-13,S50,per_school,9312,673,0.45649022865103706,0.1315343262289219,0.3164933135215453,0.5453194650817236,0.6701337295690936,1.1942223603516138,,,,
2,2023-06-13,S51,per_school,9312,673,0.7757215662235015,0.21679466554569493,0.3774145616641902,0.6463595839524517,0.7919762258543833,1.920807646862946,,,,
2,2023-06-13,S52,per_school,9312,673,0.334458188150794,0.10304697538659124,0.46953937592867756,0.6686478454680534,0.812778603268945,1.0693728489316514,,,,
2,2023-06-13,S53,per_school,9312,673,1.5408921894638092,0.3896910477892024,0.5393759286775631,0.7964338781575037,0.8855869242199108,4.008500951436175,,,,
2,2023-06-13,S6,per_school,9312,673,0.833567327765743,0.2584512164939053,0.24219910846953938,0.487369985141159,0.5423476968796433,2.1114371387091517,,,,
2,2023-06-13,S7,per_school,9312,673,1.1221070737384593,0.3485305166334158,0.3967310549777117,0.6225854383358098,0.6671619613670133,2.4579841743990625,,,,
2,2023-06-13,S8,per_school,9312,673,1.9059798076649366,0.490423808609656,0.424962852897474,0.6389301634472511,0.8350668647845468,4.781683917904614,,,,
2,2023-06-13,S9,per_school,9312,673,1.5918117521482886,0.3874316032628361,0.4739970282317979,0.7221396731054978,0.8469539375928677,4.0001362072444735,,,,
2,2023-06-13,S1,two_stage_cal_asymm,9312,673,1.3181592756591354,,0.3179791976225854,0.5527488855869243,0.612184249628529,7.391413529764054,0.45,2.45,0.8969404186795491,0.2472511144130758
2,2023-06-13,S10,two_stage_cal_asymm,9312,673,0.6641172075267098,,0.17830609212481427,0.5854383358098069,0.8900445765230312,1.9288263580551357,0.65,0.45,0.9656468062265163,0.21456166419019318
2,2023-06-13,S11,two_stage_cal_asymm,9312,673,1.7761992452047302,,0.6285289747399703,0.7949479940564635,0.8900445765230312,3.964127452119243,1.0,0.8,0.8309178743961353,0.005052005943536497
2,2023-06-13,S12,two_stage_cal_asymm,9312,673,1.1342080759998492,,0.7043090638930164,0.7800891530460624,0.8543833580980683,4.087214247289418,2.15,0.45,0.9157273215244229,0.019910846953937633
2,2023-06-13,S13,two_stage_cal_asymm,9312,673,1.1848292425458407,,0.6909361069836553,0.8098068350668648,0.861812778603269,3.6116268298535275,1.75,0.4,0.9141170155662909,0.00980683506686475
2,2023-06-13,S14,two_stage_cal_asymm,9312,673,1.5318359562016008,,0.4427934621099554,0.6894502228826151,0.7622585438335809,5.345818094715461,0.35,1.25,0.9388083735909822,0.1105497771173849
2,2023-06-13,S15,two_stage_cal_asymm,9312,673,1.0198478995240088,,0.4338781575037147,0.6077265973254086,0.6835066864784547,2.476724122515536,1.3,0.3,0.9667203435319377,0.19227340267459148
2,2023-06-13,S16,two_stage_cal_asymm,9312,673,1.2852890614735104,,0.3610698365527489,0.6270430906389302,0.774145616641902,2.476800944510227,1.05,0.45,0.9495437466451959,0.1729569093610699
2,2023-06-13,S17,two_stage_cal_asymm,9312,673,2.9812029901157495,,0.5200594353640416,0.6864784546805349,0.7667161961367014,4.335094568914709,1.05,1.0,0.7971014492753623,0.11352154531946512
2,2023-06-13,S18,two_stage_cal_asymm,9312,673,1.6516123278496442,,0.5616641901931649,0.7682020802377415,0.8202080237741456,4.354446965309378,0.9,0.8,0.8668813741277509,0.03179791976225854
2,2023-06-13,S19,two_stage_cal_asymm,9312,673,1.5014001680610287,,0.36701337295690933,0.8424962852897474,0.9583952451708767,3.6312813298924635,0.7,1.05,0.8217928073000537,0.04249628528974736
2,2023-06-13,S2,two_stage_cal_asymm,9312,673,1.4231965182929103,,0.6344725111441307,0.7592867756315007,0.8023774145616642,8.413103539713529,1.05,1.9,0.7600644122383253,0.040713224368499334
2,2023-06-13,S20,two_stage_cal_asymm,9312,673,0.4494519757686086,,0.32838038632986627,0.6731054977711739,0.7815750371471025,1.4290057206389388,0.45,0.35,0.9334406870638755,0.12689450222882614
2,2023-06-13,S21,two_stage_cal_asymm,9312,673,1.449991765187055,,0.6448736998514116,0.7815750371471025,0.8395245170876672,2.749742949848442,1.1500000000000001,0.55,0.8690284487385936,0.01842496285289752
2,2023-06-13,S22,two_stage_cal_asymm,9312,673,0.8053335961650723,,0.5690936106983655,0.8811292719167905,0.9435364041604755,2.765112694929102,1.5,0.35,0.917337627482555,0.08112927191679042
2,2023-06-13,S23,two_stage_cal_asymm,9312,673,0.7894201469745964,,0.5170876671619614,0.9346210995542348,0.9583952451708767,3.107203555631272,1.6,0.45,0.8239398819108964,0.13462109955423474
2,2023-06-13,S24,two_stage_cal_asymm,9312,673,2.1885545533091277,,0.6820208023774146,0.799405646359584,0.8484398216939079,11.497243428118912,1.1,0.5,0.9479334406870639,0.0005943536404160454
2,2023-06-13,S25,two_stage_cal_asymm,9312,673,1.473703459679,,0.7310549777117384,0.8424962852897474,0.8796433878157504,5.103186964839149,1.85,0.4,0.9452495974235104,0.04249628528974736
2,2023-06-13,S26,two_stage_cal_asymm,9312,673,0.7634783230054902,,0.4710252600297177,0.6716196136701337,0.7548291233283804,1.8443862801566708,0.4,0.5,0.9280730005367687,0.12838038632986637
2,2023-06-13,S27,two_stage_cal_asymm,9312,673,1.03946305052743,,0.45022288261515603,0.7607726597325408,0.8454680534918276,2.982702421580383,0.65,0.8,0.8829844337090714,0.03922734026745922
2,2023-06-13,S28,two_stage_cal_asymm,9312,673,1.4552804947700078,,0.6537890044576523,0.8469539375928677,0.8841010401188707,3.101581447513373,0.9,0.6000000000000001,0.9221685453569511,0.0469539375928677
2,2023-06-13,S29,two_stage_cal_asymm,9312,673,1.5068351577921888,,0.40416047548291234,0.7295690936106983,0.8098068350668648,2.62622735490687,0.8500000000000001,0.45,0.95276435856146,0.07043090638930172
2,2023-06-13,S3,two_stage_cal_asymm,9312,673,2.784143165745422,,0.40713224368499257,0.7786032689450223,0.8945022288261516,5.029633557423003,1.7,1.1,0.6972624798711755,0.021396731054977747
2,2023-06-13,S30,two_stage_cal_asymm,9312,673,1.1104486330859669,,0.30906389301634474,0.725111441307578,0.8291233283803864,2.5998656609262216,0.55,0.7,0.9269994632313473,0.07488855869242206
2,2023-06-13,S31,two_stage_cal_asymm,9312,673,0.9038843316252364,,0.575037147102526,0.7949479940564635,0.8900445765230312,3.8844845862075874,1.9,0.45,0.9382716049382716,0.005052005943536497
2,2023-06-13,S32,two_stage_cal_asymm,9312,673,0.49094945644059584,,0.4933135215453195,0.763744427934621,0.8083209509658247,1.8946254460609238,0.25,0.6000000000000001,0.9822866344605475,0.036255572065378994
2,2023-06-13,S33,two_stage_cal_asymm,9312,673,0.48887186767130036,,0.32540861812778604,0.5349182763744428,0.7043090638930164,3.259197835498453,0.4,1.05,0.9672571121846484,0.26508172362555726
2,2023-06-13,S34,two_stage_cal_asymm,9312,673,0.8482352351826551,,0.37592867756315007,0.6760772659732541,0.7444279346210996,3.4529667993422435,0.45,1.05,0.9495437466451959,0.12392273402674592
2,2023-06-13,S35,two_stage_cal_asymm,9312,673,0.9426527168863087,,0.563150074294205,0.7934621099554234,0.8142644873699851,5.215295611972513,0.5,1.55,0.9366612989801396,0.006537890044576611
2,2023-06-13,S36,two_stage_cal_asymm,9312,673,1.637284370023326,,0.5542347696879644,0.7919762258543833,0.9078751857355126,4.1251955977116745,1.35,0.9500000000000001,0.7563070316693505,0.008023774145616724
